1, 4,	11, 17, 32, 7, 8,	2, 30, 32, 5, 8,	3, 23, 32, 7, 8
2, 3,	11, 3, 21, 8, 8,	1, 17, 21, 5, 7,	4, 12, 21, 8, 8
1, 4,	11, 29, 32, 7, 8,	2, 105, 0, 4, 8,	3, 3, 32, 7, 8
2, 3,	11, 20, 21, 8, 8,	1, 13, 21, 5, 7,	4, 8, 21, 8, 8
1, 4,	11, 22, 32, 7, 8,	2, 4, 32, 5, 8,	3, 27, 33, 7, 8
2, 3,	11, 11, 21, 8, 8,	1, 5, 21, 5, 7,	4, 20, 21, 8, 8
1, 4,	11, 23, 32, 7, 8,	2, 4, 32, 5, 8,	3, 28, 32, 7, 8
2, 3,	11, 14, 21, 8, 8,	1, 7, 21, 5, 7,	4, 2, 21, 8, 8
1, 4,	11, 25, 32, 7, 8,	2, 6, 32, 4, 8,	3, 31, 32, 7, 8
2, 3,	11, 11, 21, 8, 8,	1, 4, 21, 5, 7,	4, 19, 21, 8, 8
1, 4,	11, 24, 31, 7, 8,	2, 31, 32, 5, 8,	3, 28, 32, 7, 8
2, 3,	11, 10, 21, 8, 8,	1, 3, 21, 5, 7,	4, 18, 21, 8, 8
1, 4,	11, 16, 32, 7, 8,	2, 29, 32, 4, 8,	3, 21, 32, 7, 8
2, 3,	11, 12, 21, 8, 8,	1, 5, 21, 5, 7,	4, 1, 21, 8, 8
1, 4,	11, 28, 33, 7, 8,	2, 4, 32, 4, 8,	3, 1, 32, 7, 8
2, 3,	11, 14, 21, 8, 8,	1, 6, 21, 5, 7,	4, 2, 21, 8, 8
1, 4,	11, 12, 33, 7, 8,	2, 21, 33, 4, 8,	3, 17, 33, 7, 8
2, 3,	11, 9, 21, 8, 8,	1, 2, 21, 5, 7,	4, 18, 21, 8, 8
1, 4,	11, 5, 32, 7, 8,	2, 11, 33, 4, 8,	3, 10, 32, 7, 8
2, 3,	11, 13, 21, 8, 8,	1, 6, 21, 5, 7,	4, 1, 21, 8, 8
1, 4,	11, 12, 32, 7, 8,	2, 20, 32, 4, 8,	3, 17, 32, 7, 8
2, 3,	11, 8, 21, 8, 8,	1, 2, 21, 5, 7,	4, 18, 21, 8, 8
1, 4,	11, 19, 32, 7, 8,	2, 27, 32, 4, 8,	3, 24, 32, 7, 8
2, 3,	11, 19, 21, 8, 8,	1, 11, 21, 5, 7,	4, 7, 21, 8, 8
1, 4,	11, 11, 32, 7, 8,	2, 19, 32, 4, 8,	3, 16, 32, 7, 8
2, 3,	11, 10, 21, 8, 8,	1, 2, 21, 5, 7,	4, 19, 21, 8, 8
1, 4,	11, 5, 32, 7, 8,	2, 15, 32, 4, 8,	3, 11, 32, 7, 8
2, 3,	11, 11, 21, 8, 8,	1, 4, 21, 5, 7,	4, 20, 21, 8, 8
1, 4,	11, 27, 32, 7, 8,	2, 8, 32, 4, 8,	3, 0, 32, 7, 8
2, 3,	11, 17, 21, 8, 8,	1, 10, 21, 5, 7,	4, 6, 21, 8, 8
1, 4,	11, 2, 32, 7, 8,	2, 11, 32, 5, 8,	3, 7, 32, 7, 8
2, 3,	11, 4, 21, 8, 8,	1, 17, 21, 5, 7,	4, 13, 21, 8, 8
1, 4,	11, 9, 33, 7, 8,	2, 17, 33, 5, 8,	3, 13, 33, 7, 8
2, 3,	11, 11, 21, 8, 8,	1, 5, 21, 5, 7,	4, 1, 21, 8, 8
1, 4,	11, 22, 32, 7, 8,	2, 0, 32, 5, 8,	3, 28, 31, 7, 8
2, 3,	11, 4, 21, 8, 8,	1, 17, 21, 5, 7,	4, 12, 21, 8, 8
1, 4,	11, 7, 32, 7, 8,	2, 21, 32, 5, 8,	3, 13, 32, 7, 8
2, 3,	11, 2, 21, 8, 8,	1, 16, 21, 5, 7,	4, 11, 21, 8, 8
1, 4,	11, 24, 32, 7, 8,	2, 4, 32, 5, 8,	3, 29, 32, 7, 8
2, 3,	11, 6, 21, 8, 8,	1, 20, 21, 5, 7,	4, 14, 21, 8, 8
1, 4,	11, 15, 33, 7, 8,	2, 24, 32, 5, 8,	3, 19, 33, 7, 8
2, 3,	11, 17, 21, 8, 8,	1, 10, 21, 5, 7,	4, 6, 21, 8, 8
1, 4,	11, 28, 32, 7, 8,	2, 4, 32, 5, 8,	3, 1, 33, 7, 8
2, 3,	11, 17, 21, 8, 8,	1, 10, 20, 5, 7,	4, 5, 21, 8, 8
1, 4,	11, 4, 32, 7, 8,	2, 20, 32, 5, 8,	3, 11, 32, 7, 8
2, 3,	11, 14, 21, 8, 8,	1, 8, 21, 5, 7,	4, 3, 21, 8, 8
